pkt_len_max,pkt_len_std,pkt_len_p50,pkt_len_p75,payload_median,iat_std,iat_p75_minus_p50,iat_p95_minus_p50,iat_cov_std_mean,iat_median,granularity,label
64294,21353.77016,1160.5,31809.0,1106.5,1.17204,0.0009,0.01507,7.62704,0.00044,150,Netflix
64294,22126.54151,897.0,29254.0,843.0,0.32617,0.00165,0.01953,6.22058,0.00027,150,Netflix
64294,22030.6474,624.5,24874.0,570.5,0.31379,0.00161,0.01664,6.56844,0.0003,150,Netflix
11306,1876.93496,58.0,598.75,0.0,17.19619,0.04206,45.00617,2.40155,0.0033,150,Netflix
64294,24750.31709,546.0,33269.0,492.0,0.2773,0.00092,0.02479,5.8698,0.00024,150,Netflix
64294,22764.68188,546.5,22319.0,492.5,0.9351,0.00186,0.02143,7.13942,0.00031,150,Netflix
64294,21594.4364,546.5,34364.0,492.5,0.39097,0.00105,0.0082,7.42921,0.00029,150,Netflix
64294,17326.5676,1073.5,19034.0,1019.5,3.01392,0.00355,0.05864,7.5881,0.00045,150,Netflix
64294,21497.86719,972.5,31444.0,918.5,0.31987,0.00101,0.03008,6.13976,0.00031,150,Netflix
64294,21159.61595,373.5,31444.0,319.5,0.22715,0.0006,0.00471,11.57186,0.0002,150,Netflix
64294,21359.96917,1150.0,32174.0,1096.0,0.22784,0.00099,0.01259,7.94188,0.00025,150,Netflix
64294,24113.9257,900.0,37649.0,846.0,0.36081,0.00137,0.01812,7.11051,0.00025,150,Netflix
64294,23633.05968,1436.0,39109.0,1382.0,4.15076,0.00179,0.02166,7.81636,0.0006,150,Netflix
64294,18833.78806,1156.5,27064.0,1102.5,1.133,0.00266,0.01749,6.22381,0.00055,150,Netflix
64294,27241.11598,1514.0,55534.0,1460.0,0.60185,0.00076,0.02544,9.12593,0.00023,150,Netflix
64294,20185.66222,945.5,26334.0,891.5,0.38444,0.00174,0.03241,6.62744,0.00039,150,Netflix
64294,17357.01727,1099.0,25969.0,1045.0,0.35682,0.00139,0.01572,8.26007,0.00039,150,Netflix
64294,18286.86002,1154.0,25969.0,1100.0,0.54583,0.00071,0.00586,9.06696,0.00032,150,Netflix
64294,18111.11391,850.5,27794.0,796.5,0.22298,0.00165,0.00368,8.16032,0.00031,150,Netflix
64294,26179.21025,1155.0,49694.0,1101.0,0.24595,0.0008,0.01711,10.72537,0.00027,150,Netflix
8791,994.20948,104.5,130.75,46.5,13.76278,10.12592,32.83751,1.80685,0.04808,150,Netflix
64294,23461.43178,1153.0,31809.0,1099.0,0.69194,0.00227,0.04895,6.88397,0.00042,150,Netflix
64294,22384.62672,674.5,27794.0,620.5,0.72278,0.00112,0.02586,7.10733,0.00038,150,Netflix
64294,25755.62175,546.0,43489.0,492.0,0.89161,0.00117,0.03683,7.04994,0.00031,150,Netflix
64294,20964.23539,870.5,21589.0,816.5,0.46063,0.00165,0.02501,6.31566,0.00031,150,Netflix
64294,12582.2791,765.0,17574.0,711.0,0.00649,0.00166,0.00379,2.98392,0.00028,150,Netflix
64294,14590.96467,2974.0,20494.0,2920.0,0.00481,0.00144,0.00743,2.42943,0.00031,150,Netflix
64294,17019.94916,1514.0,21954.0,1460.0,0.92771,0.00159,0.0092,11.77551,0.00031,150,Netflix
64294,16081.21291,973.5,24874.0,919.5,0.32542,0.0013,0.01154,8.26954,0.0003,150,Netflix
64294,16649.71646,1496.5,27794.0,1442.5,0.00173,0.00097,0.0046,1.59935,0.00021,150,Netflix
64294,19053.81795,1514.0,27794.0,1460.0,0.3203,0.00127,0.00782,11.1062,0.00028,150,Netflix
64294,16687.85777,1131.5,17574.0,1077.5,0.33427,0.00103,0.01,9.56261,0.0002,150,Netflix
64294,18940.92766,546.0,23414.0,492.0,0.37973,0.00126,0.01638,6.44779,0.00037,150,Netflix
58454,16144.763,1155.0,21589.0,1101.0,2.04687,0.00153,0.01644,8.14744,0.00044,150,Netflix
64294,19915.58204,1160.5,26334.0,1106.5,0.1521,0.00184,0.00942,8.86763,0.00024,150,Netflix
64294,17636.17278,99.5,27794.0,45.5,0.10179,0.00103,0.00434,10.08124,0.00026,150,Netflix
64294,22675.81218,1146.0,29254.0,1092.0,0.22997,0.00105,0.01755,7.02586,0.00021,150,Netflix
64294,21454.21059,975.0,31809.0,921.0,3.83461,0.00169,0.03817,8.05308,0.0006,150,Netflix
64294,24840.98238,1154.0,38014.0,1100.0,2.92572,0.0011,0.02729,7.00969,0.00032,150,Netflix
